M,N,total_satellites,inclination,phase_factor,space_time_coverage_ratio,full_region_coverage_ratio,worst_instantaneous_ratio,minimum_point_coverage_ratio,average_multiplicity,maximum_gap_minutes,feasible
32,64,2048,57.0,13,0.9985642361111111,0.2611111111111111,0.99625,0.9652777777777778,3.514300347222222,2.0,False
32,64,2048,55.5,2,0.9984583333333333,0.2611111111111111,0.995,0.9708333333333333,3.7615399305555557,4.0,False
32,64,2048,57.0,29,0.99840625,0.2611111111111111,0.995,0.9611111111111111,3.514059027777778,2.0,False
32,64,2048,57.0,4,0.9986527777777777,0.25833333333333336,0.995,0.9777777777777777,3.5140607638888888,4.0,False
32,64,2048,55.0,24,0.9988368055555555,0.2569444444444444,0.9975,0.9638888888888889,3.833373263888889,4.0,False
32,64,2048,56.0,15,0.9989895833333333,0.25555555555555554,0.99625,0.9708333333333333,3.689779513888889,2.0,False
32,64,2048,56.5,8,0.9985642361111111,0.25277777777777777,0.995,0.9694444444444444,3.605673611111111,6.0,False
32,64,2048,55.5,10,0.9984722222222222,0.25277777777777777,0.995,0.9527777777777777,3.761652777777778,6.0,False
32,64,2048,58.0,5,0.9985486111111112,0.25,0.995,0.9722222222222222,3.389140625,2.0,False
32,64,2048,56.0,22,0.9982934027777778,0.25,0.995,0.9555555555555556,3.690027777777778,4.0,False
32,64,2048,55.5,28,0.9988784722222223,0.24861111111111112,0.99625,0.9722222222222222,3.7614930555555555,4.0,False
32,64,2048,55.5,11,0.99878125,0.24861111111111112,0.995,0.9694444444444444,3.761592013888889,4.0,False
32,64,2048,56.5,13,0.9984409722222222,0.24722222222222223,0.99625,0.9666666666666667,3.6060295138888887,2.0,False
32,64,2048,56.0,2,0.9978611111111111,0.24166666666666667,0.99375,0.9638888888888889,3.6898975694444442,4.0,False
32,64,2048,55.5,12,0.9981458333333333,0.24166666666666667,0.99375,0.9083333333333333,3.7612395833333334,6.0,False
32,64,2048,55.5,24,0.9986388888888889,0.2361111111111111,0.99625,0.9583333333333334,3.7615746527777776,4.0,False
32,64,2048,56.5,6,0.9984791666666667,0.22777777777777777,0.995,0.9708333333333333,3.605907986111111,6.0,False
32,64,2048,56.0,13,0.9987638888888889,0.22361111111111112,0.99625,0.9694444444444444,3.689828125,2.0,False
32,64,2048,57.5,9,0.9987239583333334,0.22083333333333333,0.99625,0.9666666666666667,3.4470868055555557,2.0,False
32,64,2048,56.0,8,0.9987413194444444,0.22083333333333333,0.99625,0.9597222222222223,3.6896875,6.0,False
32,64,2048,55.0,29,0.9980677083333334,0.21805555555555556,0.995,0.95,3.833359375,4.0,False
32,64,2048,54.0,20,0.9988038194444444,0.21666666666666667,0.9975,0.9652777777777778,3.9995902777777776,4.0,False
32,64,2048,55.5,23,0.9982743055555555,0.2152777777777778,0.995,0.9666666666666667,3.7617118055555556,4.0,False
32,64,2048,56.5,15,0.9986579861111111,0.2125,0.99625,0.9680555555555556,3.6060677083333332,2.0,False
32,64,2048,55.5,14,0.9977847222222223,0.2125,0.99375,0.9361111111111111,3.761045138888889,6.0,False
32,64,2048,57.0,15,0.9985399305555556,0.20833333333333334,0.99625,0.9680555555555556,3.514001736111111,2.0,False
32,64,2048,56.0,3,0.99796875,0.20833333333333334,0.99375,0.9416666666666667,3.6896006944444446,4.0,False
32,64,2048,58.0,7,0.9985190972222222,0.2013888888888889,0.99625,0.9708333333333333,3.388998263888889,2.0,False
32,64,2048,57.5,19,0.9984791666666667,0.2013888888888889,0.99625,0.9652777777777778,3.4469461805555555,2.0,False
32,64,2048,56.5,17,0.9986684027777778,0.2,0.99625,0.9680555555555556,3.60590625,2.0,False
32,64,2048,55.5,22,0.9981128472222223,0.2,0.995,0.9527777777777777,3.761739583333333,4.0,False
32,64,2048,56.5,4,0.9982465277777778,0.2,0.9925,0.9708333333333333,3.6056961805555554,4.0,False
32,64,2048,54.5,27,0.9986944444444444,0.19444444444444445,0.99625,0.9638888888888889,3.922065972222222,4.0,False
32,64,2048,56.0,21,0.9984722222222222,0.19444444444444445,0.995,0.9666666666666667,3.6900572916666667,4.0,False
32,64,2048,57.0,21,0.9981302083333333,0.19305555555555556,0.995,0.9666666666666667,3.514170138888889,2.0,False
32,64,2048,57.5,3,0.9984791666666667,0.18888888888888888,0.99625,0.9638888888888889,3.446920138888889,2.0,False
32,64,2048,55.0,10,0.998546875,0.1875,0.99625,0.9625,3.8333298611111113,6.0,False
32,64,2048,58.0,3,0.9986701388888889,0.18611111111111112,0.99625,0.9694444444444444,3.3891753472222224,2.0,False
32,64,2048,56.5,20,0.9984548611111111,0.18472222222222223,0.995,0.9583333333333334,3.6058576388888888,6.0,False
32,64,2048,55.0,14,0.9980711805555555,0.18194444444444444,0.995,0.9388888888888889,3.833137152777778,6.0,False
32,64,2048,57.0,9,0.9986197916666667,0.18055555555555555,0.9975,0.9625,3.51434375,2.0,False
32,64,2048,57.5,5,0.9985833333333334,0.1736111111111111,0.99625,0.9666666666666667,3.446793402777778,2.0,False
32,64,2048,58.0,19,0.9982083333333334,0.17083333333333334,0.99375,0.9694444444444444,3.3892534722222223,2.0,False
